mode,coupling_model,case,v_ms,lambda_uev,delta_P_v,delta_chi_phi,S_M2,S_M1V,P_v_M2,P_v_M1V,chi_M2,chi_M1
full_lite,A_pocket,case_ii_edge,5.0,0.0,2.710505e-20,-6.300516e-15,1.399897e-14,3.091307e-14,6.949683e-05,6.949683e-05,1.780477e-01,1.780477e-01
full_lite,A_pocket,case_ii_edge,5.0,0.25,2.510743e-02,-1.039289e-01,7.845108e-01,7.332878e-01,4.014511e-01,3.763436e-01,6.682319e-02,1.707521e-01
full_lite,A_pocket,case_ii_edge,5.0,0.5,1.817682e-02,-2.359085e-01,3.142931e-01,3.216243e-01,7.614821e-01,7.433053e-01,9.158194e-01,1.151728e+00
full_lite,A_pocket,case_ii_edge,5.0,1.0,-3.846929e-04,-4.851778e-01,3.928046e-01,3.958270e-01,1.016722e-01,1.020569e-01,2.974492e-01,7.826270e-01
full_lite,A_pocket,case_ii_edge,10.0,0.0,-1.612751e-18,3.663736e-15,5.189551e-15,5.445825e-15,3.299178e-05,3.299178e-05,1.916292e-01,1.916292e-01
full_lite,A_pocket,case_ii_edge,10.0,0.25,-5.888759e-04,-3.770294e-02,4.609665e-01,4.641233e-01,1.339409e-01,1.345298e-01,3.833041e-02,7.603335e-02
full_lite,A_pocket,case_ii_edge,10.0,0.5,5.546974e-04,4.713783e-04,7.145818e-01,7.029516e-01,4.193074e-01,4.187527e-01,1.149593e-01,1.144879e-01
full_lite,A_pocket,case_ii_edge,10.0,1.0,3.985007e-03,-7.119689e-03,6.126460e-01,5.940782e-01,5.732569e-01,5.692719e-01,1.737061e-02,2.449030e-02
full_lite,A_pocket,case_ii_edge,20.0,0.0,-1.680513e-18,4.315992e-15,5.125482e-15,9.289937e-15,4.542335e-04,4.542335e-04,4.487536e-02,4.487536e-02
full_lite,A_pocket,case_ii_edge,20.0,0.25,-4.862681e-05,1.931387e-03,1.726183e-01,1.732027e-01,3.899531e-02,3.904394e-02,2.313023e-02,2.119884e-02
full_lite,A_pocket,case_ii_edge,20.0,0.5,2.063003e-03,-3.186800e-04,4.237322e-01,4.162034e-01,1.456278e-01,1.435648e-01,3.214435e-03,3.533115e-03
full_lite,A_pocket,case_ii_edge,20.0,1.0,-1.051660e-02,-3.742027e-03,5.342104e-01,5.438323e-01,3.779224e-01,3.884390e-01,1.082866e-02,1.457068e-02
