model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
A_pocket,case_ii_edge,10.0,0.5,depth_nm+,-4.172469e-04,1.428250e-03
A_pocket,case_ii_edge,10.0,0.5,depth_nm-,-4.634067e-04,5.735685e-03
A_pocket,case_ii_edge,10.0,0.5,half_x_nm+,4.166740e-03,7.485844e-02
A_pocket,case_ii_edge,10.0,0.5,half_x_nm-,-1.543390e-03,-3.807748e-03
A_pocket,case_ii_edge,10.0,0.5,half_z_nm+,6.857672e-03,2.351359e-02
A_pocket,case_ii_edge,10.0,0.5,half_z_nm-,-1.292856e-03,-6.247845e-03
A_pocket,case_ii_edge,10.0,0.5,period_nm+,-4.931333e-05,-1.821434e-03
A_pocket,case_ii_edge,10.0,0.5,period_nm-,-1.999422e-03,1.130531e-04
A_pocket,case_ii_edge,10.0,1.0,baseline,-8.599722e-04,-1.120764e-02
A_pocket,case_ii_edge,10.0,1.0,depth_nm+,-1.074797e-05,6.916767e-03
A_pocket,case_ii_edge,10.0,1.0,depth_nm-,4.587798e-05,6.723156e-03
A_pocket,case_ii_edge,10.0,1.0,half_x_nm+,-6.235478e-04,2.723080e-02
A_pocket,case_ii_edge,10.0,1.0,half_x_nm-,1.607137e-04,-1.931459e-02
A_pocket,case_ii_edge,10.0,1.0,half_z_nm+,-8.122669e-04,1.703503e-02
A_pocket,case_ii_edge,10.0,1.0,half_z_nm-,9.540042e-05,8.184997e-03
A_pocket,case_ii_edge,10.0,1.0,period_nm+,5.299870e-06,1.359985e-04
A_pocket,case_ii_edge,10.0,1.0,period_nm-,3.754399e-04,3.209250e-04
A_pocket,case_ii_edge,20.0,0.5,baseline,2.304661e-03,-3.457920e-04
A_pocket,case_ii_edge,20.0,0.5,depth_nm+,1.080867e-04,-6.517793e-03
A_pocket,case_ii_edge,20.0,0.5,depth_nm-,8.607715e-04,1.323608e-04
A_pocket,case_ii_edge,20.0,0.5,half_x_nm+,2.189584e-03,6.130439e-05
A_pocket,case_ii_edge,20.0,0.5,half_x_nm-,9.713640e-04,-2.391235e-03
A_pocket,case_ii_edge,20.0,0.5,half_z_nm+,1.537844e-03,-4.059154e-03
A_pocket,case_ii_edge,20.0,0.5,half_z_nm-,1.126922e-03,2.860215e-03
A_pocket,case_ii_edge,20.0,0.5,period_nm+,-4.300578e-05,-6.124077e-04
A_pocket,case_ii_edge,20.0,0.5,period_nm-,1.469125e-03,-1.181281e-04
A_pocket,case_ii_edge,20.0,1.0,baseline,4.478521e-03,-2.434278e-03
A_pocket,case_ii_edge,20.0,1.0,depth_nm+,-5.359330e-04,-4.517794e-03
A_pocket,case_ii_edge,20.0,1.0,depth_nm-,1.532593e-03,1.003111e-02
A_pocket,case_ii_edge,20.0,1.0,half_x_nm+,3.888753e-03,7.169911e-03
A_pocket,case_ii_edge,20.0,1.0,half_x_nm-,1.986305e-03,-1.385084e-03
A_pocket,case_ii_edge,20.0,1.0,half_z_nm+,2.679255e-03,-2.608883e-03
A_pocket,case_ii_edge,20.0,1.0,half_z_nm-,2.009414e-03,1.382703e-03
A_pocket,case_ii_edge,20.0,1.0,period_nm+,8.347747e-06,-2.017089e-04
A_pocket,case_ii_edge,20.0,1.0,period_nm-,2.853068e-03,8.331268e-04
B_x,case_i_center,5.0,0.5,baseline,-9.012475e-04,-5.059237e-02
B_x,case_i_center,5.0,0.5,depth_nm+,-1.390382e-03,2.155850e-02
B_x,case_i_center,5.0,0.5,depth_nm-,-1.091589e-03,1.914423e-03
B_x,case_i_center,5.0,0.5,half_x_nm+,-8.435947e-03,-9.437923e-03
B_x,case_i_center,5.0,0.5,half_x_nm-,-1.210955e-02,-2.544495e-01
B_x,case_i_center,5.0,0.5,half_z_nm+,-4.774673e-03,2.066027e-02
B_x,case_i_center,5.0,0.5,half_z_nm-,-1.210817e-02,-4.059719e-02
B_x,case_i_center,5.0,0.5,period_nm+,-5.732897e-04,6.610375e-02
B_x,case_i_center,5.0,0.5,period_nm-,-4.625142e-06,4.648079e-04
B_x,case_i_center,5.0,1.0,baseline,-2.449341e-02,5.004592e-02
B_x,case_i_center,5.0,1.0,depth_nm+,5.064623e-03,-8.514869e-03
B_x,case_i_center,5.0,1.0,depth_nm-,-2.403575e-05,7.888952e-03
B_x,case_i_center,5.0,1.0,half_x_nm+,-3.650612e-05,-9.880149e-04
