model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
A_pocket,case_ii_edge,5.0,1.0,half_z_nm+,1.926968e-02,-1.044130e-01
A_pocket,case_ii_edge,5.0,1.0,half_z_nm-,4.076634e-04,4.216405e-03
A_pocket,case_ii_edge,5.0,1.0,period_nm+,-2.735628e-05,-9.150748e-04
A_pocket,case_ii_edge,5.0,1.0,period_nm-,-8.904616e-04,-3.857702e-05
A_pocket,case_ii_edge,20.0,0.5,baseline,1.821616e-03,-5.190766e-04
A_pocket,case_ii_edge,20.0,0.5,depth_nm+,3.087366e-05,-7.916565e-03
A_pocket,case_ii_edge,20.0,0.5,depth_nm-,6.740505e-04,-1.500489e-04
A_pocket,case_ii_edge,20.0,0.5,half_x_nm+,1.653590e-03,5.490910e-05
A_pocket,case_ii_edge,20.0,0.5,half_x_nm-,7.799301e-04,-2.916751e-03
A_pocket,case_ii_edge,20.0,0.5,half_z_nm+,1.090174e-03,-4.975031e-03
A_pocket,case_ii_edge,20.0,0.5,half_z_nm-,9.038157e-04,3.479651e-03
A_pocket,case_ii_edge,20.0,0.5,period_nm+,-3.452113e-05,-7.454051e-04
A_pocket,case_ii_edge,20.0,0.5,period_nm-,1.028010e-03,-1.314315e-04
A_pocket,case_ii_edge,20.0,1.0,baseline,3.717504e-03,-2.949762e-03
A_pocket,case_ii_edge,20.0,1.0,depth_nm+,-6.053075e-04,-5.626591e-03
A_pocket,case_ii_edge,20.0,1.0,depth_nm-,1.299326e-03,1.193304e-02
A_pocket,case_ii_edge,20.0,1.0,half_x_nm+,3.188020e-03,8.932537e-03
A_pocket,case_ii_edge,20.0,1.0,half_x_nm-,1.653999e-03,-1.802380e-03
A_pocket,case_ii_edge,20.0,1.0,half_z_nm+,2.090807e-03,-2.977423e-03
A_pocket,case_ii_edge,20.0,1.0,half_z_nm-,1.672205e-03,1.804519e-03
A_pocket,case_ii_edge,20.0,1.0,period_nm+,1.266757e-05,-2.443073e-04
A_pocket,case_ii_edge,20.0,1.0,period_nm-,2.473620e-03,9.944249e-04
B_x,case_i_center,5.0,0.5,baseline,-1.204864e-03,-4.341601e-02
B_x,case_i_center,5.0,0.5,depth_nm+,-8.629149e-04,1.236471e-02
B_x,case_i_center,5.0,0.5,depth_nm-,-1.307292e-03,2.639971e-03
B_x,case_i_center,5.0,0.5,half_x_nm+,-1.648029e-02,-7.626033e-03
B_x,case_i_center,5.0,0.5,half_x_nm-,-7.217821e-03,-3.175362e-01
B_x,case_i_center,5.0,0.5,half_z_nm+,-7.805358e-03,1.257401e-02
B_x,case_i_center,5.0,0.5,half_z_nm-,-1.115741e-02,-5.929887e-02
B_x,case_i_center,5.0,0.5,period_nm+,-6.635718e-04,5.828800e-02
B_x,case_i_center,5.0,0.5,period_nm-,-5.404112e-06,8.463980e-04
B_x,case_i_center,5.0,1.0,baseline,-3.305433e-02,2.659565e-02
B_x,case_i_center,5.0,1.0,depth_nm+,9.270949e-03,-8.808402e-04
B_x,case_i_center,5.0,1.0,depth_nm-,-1.628617e-05,4.820695e-03
B_x,case_i_center,5.0,1.0,half_x_nm+,-5.867253e-05,-1.357722e-03
B_x,case_i_center,5.0,1.0,half_x_nm-,1.583617e-04,3.760820e-02
B_x,case_i_center,5.0,1.0,half_z_nm+,-8.639864e-02,-4.145114e-02
B_x,case_i_center,5.0,1.0,half_z_nm-,6.318796e-04,-3.785519e-02
B_x,case_i_center,5.0,1.0,period_nm+,4.404781e-04,-3.992238e-03
B_x,case_i_center,5.0,1.0,period_nm-,-8.527580e-04,1.968760e-04
B_x,case_i_center,20.0,0.5,baseline,1.627526e-03,-5.050643e-04
B_x,case_i_center,20.0,0.5,depth_nm+,-6.827944e-05,4.716849e-06
B_x,case_i_center,20.0,0.5,depth_nm-,1.133761e-03,6.394708e-05
B_x,case_i_center,20.0,0.5,half_x_nm+,-5.860307e-03,-2.775641e-02
B_x,case_i_center,20.0,0.5,half_x_nm-,2.982997e-03,-2.515236e-03
