model,case,v_ms,lambda_uev,geom_label,dP_v,dchi_phi
B_x,case_ii_edge,10.0,0.5,half_x_nm+,1.497915e-02,2.117787e-02
B_x,case_ii_edge,10.0,0.5,half_z_nm-,-8.753243e-04,6.150719e-03
B_x,case_ii_edge,10.0,0.5,half_z_nm+,-1.396216e-02,1.584108e-02
B_x,case_ii_edge,10.0,1.0,baseline,-1.945942e-05,2.717752e-02
B_x,case_ii_edge,10.0,1.0,period_nm-,-2.141311e-05,5.151313e-03
B_x,case_ii_edge,10.0,1.0,period_nm+,-2.966923e-06,2.162626e-02
B_x,case_ii_edge,10.0,1.0,depth_nm-,9.025422e-06,9.965112e-03
B_x,case_ii_edge,10.0,1.0,depth_nm+,-4.997258e-05,7.515611e-02
B_x,case_ii_edge,10.0,1.0,half_x_nm-,1.363590e-05,2.032350e-02
B_x,case_ii_edge,10.0,1.0,half_x_nm+,-1.706502e-05,3.234958e-02
B_x,case_ii_edge,10.0,1.0,half_z_nm-,-2.953911e-05,1.639846e-02
B_x,case_ii_edge,10.0,1.0,half_z_nm+,-1.202556e-05,4.205651e-02
B_x,case_ii_edge,20.0,0.5,baseline,-4.756341e-04,1.217118e-03
B_x,case_ii_edge,20.0,0.5,period_nm-,-9.084501e-04,1.037578e-05
B_x,case_ii_edge,20.0,0.5,period_nm+,-9.078490e-04,4.292786e-04
B_x,case_ii_edge,20.0,0.5,depth_nm-,5.766634e-04,1.745940e-04
B_x,case_ii_edge,20.0,0.5,depth_nm+,8.546182e-05,1.171861e-02
B_x,case_ii_edge,20.0,0.5,half_x_nm-,-1.168172e-03,2.231926e-04
B_x,case_ii_edge,20.0,0.5,half_x_nm+,1.232642e-03,4.433806e-04
B_x,case_ii_edge,20.0,0.5,half_z_nm-,-7.113246e-04,3.371947e-04
B_x,case_ii_edge,20.0,0.5,half_z_nm+,-9.376922e-04,1.098135e-03
B_x,case_ii_edge,20.0,1.0,baseline,7.073767e-04,1.860565e-02
B_x,case_ii_edge,20.0,1.0,period_nm-,1.590388e-04,3.175628e-03
B_x,case_ii_edge,20.0,1.0,period_nm+,-6.522911e-04,1.606262e-02
B_x,case_ii_edge,20.0,1.0,depth_nm-,4.652047e-04,7.122196e-03
B_x,case_ii_edge,20.0,1.0,depth_nm+,1.775630e-03,5.095037e-02
B_x,case_ii_edge,20.0,1.0,half_x_nm-,-5.915991e-04,1.385207e-02
B_x,case_ii_edge,20.0,1.0,half_x_nm+,5.310412e-04,2.306362e-02
B_x,case_ii_edge,20.0,1.0,half_z_nm-,3.504722e-04,1.122217e-02
B_x,case_ii_edge,20.0,1.0,half_z_nm+,8.389213e-04,2.860977e-02
