ansatz,block,case,v_m_per_s,lambda_ueV,geometry,dP_v,dchi_phi
A_pocket,1,case_i_center,10.0,1.0,half_z_nm-,3.1786794082120165e-05,1.5168466873217117e-05
A_pocket,1,case_i_center,10.0,1.0,period_nm+,-3.870762766583491e-05,4.13937342607346e-05
A_pocket,1,case_i_center,10.0,1.0,period_nm-,8.228970158634386e-05,-2.8515928201093468e-05
A_pocket,1,case_i_center,20.0,0.5,baseline,1.5342567149211062e-07,-1.5004144501148888e-07
A_pocket,1,case_i_center,20.0,0.5,depth_nm+,1.2239234977446181e-05,-4.6033812310201916e-07
A_pocket,1,case_i_center,20.0,0.5,depth_nm-,6.687416997492104e-06,3.2425024191288027e-08
A_pocket,1,case_i_center,20.0,0.5,half_x_nm+,-1.0278095803535094e-05,2.623259559564656e-07
A_pocket,1,case_i_center,20.0,0.5,half_x_nm-,-8.719857615807278e-06,-1.775513437702926e-07
A_pocket,1,case_i_center,20.0,0.5,half_z_nm+,-8.762736898846463e-06,-6.239641037019872e-07
A_pocket,1,case_i_center,20.0,0.5,half_z_nm-,-6.05572598800716e-06,1.353829211067776e-07
A_pocket,1,case_i_center,20.0,0.5,period_nm+,-1.322947667407523e-05,3.67200574443588e-08
A_pocket,1,case_i_center,20.0,0.5,period_nm-,-1.2295095586783988e-06,4.754725053421696e-08
A_pocket,1,case_i_center,20.0,1.0,baseline,-2.2374012657859488e-05,-3.3400041624271764e-07
A_pocket,1,case_i_center,20.0,1.0,depth_nm+,3.247813107348785e-05,-4.056594281675414e-07
A_pocket,1,case_i_center,20.0,1.0,depth_nm-,1.9861658210874183e-05,2.3972133375918695e-07
A_pocket,1,case_i_center,20.0,1.0,half_x_nm+,-3.041382768139214e-05,8.408054211171622e-07
A_pocket,1,case_i_center,20.0,1.0,half_x_nm-,-1.7736121413952644e-05,-4.609510280148088e-07
A_pocket,1,case_i_center,20.0,1.0,half_z_nm+,-4.706082701033676e-06,-1.7088446068930826e-06
A_pocket,1,case_i_center,20.0,1.0,half_z_nm-,-1.9171932044096535e-05,4.7014167398048366e-07
A_pocket,1,case_i_center,20.0,1.0,period_nm+,-1.9267386907467765e-05,4.970036479576875e-07
A_pocket,1,case_i_center,20.0,1.0,period_nm-,-3.1012672258086404e-05,-7.298999430683758e-08
B_x,1,case_i_center,5.0,0.5,baseline,-6.463934167610236e-05,-5.7995745457335105e-05
B_x,1,case_i_center,5.0,0.5,depth_nm+,8.947862688788626e-05,0.00040613636272638677
B_x,1,case_i_center,5.0,0.5,depth_nm-,-2.1308732981419748e-05,-1.2703834683051168e-05
B_x,1,case_i_center,5.0,0.5,half_x_nm+,6.358499188523995e-05,4.609474392791406e-05
B_x,1,case_i_center,5.0,0.5,half_x_nm-,3.986353098506257e-05,-7.066689473826443e-05
B_x,1,case_i_center,5.0,0.5,half_z_nm+,-4.4678393246745315e-05,7.320463168052679e-05
B_x,1,case_i_center,5.0,0.5,half_z_nm-,2.691790264788222e-05,2.4559293919562252e-05
B_x,1,case_i_center,5.0,0.5,period_nm+,8.449318757496743e-06,1.0842618652225425e-05
B_x,1,case_i_center,5.0,0.5,period_nm-,-0.00022616707693513816,-0.000627210045243352
B_x,1,case_i_center,5.0,1.0,baseline,-0.0003179559930729797,-0.00030805384127039447
B_x,1,case_i_center,5.0,1.0,depth_nm+,0.00040479349710216203,0.0021253140583858063
B_x,1,case_i_center,5.0,1.0,depth_nm-,-0.00010532983232537652,-6.687820056344891e-05
B_x,1,case_i_center,5.0,1.0,half_x_nm+,0.0003058743328414222,0.0002608416173466802
B_x,1,case_i_center,5.0,1.0,half_x_nm-,0.00015885028083284514,-0.0003692060053437224
B_x,1,case_i_center,5.0,1.0,half_z_nm+,-0.00033632777946270703,0.0004332583452974319
B_x,1,case_i_center,5.0,1.0,half_z_nm-,0.00018133491940912003,0.00013720046837996294
B_x,1,case_i_center,5.0,1.0,period_nm+,9.694559528056201e-05,5.330088173659091e-05
B_x,1,case_i_center,5.0,1.0,period_nm-,-0.000767164318967839,-0.004080415503824628
B_x,1,case_i_center,10.0,0.5,baseline,-1.5295851967606078e-05,-8.386279987246045e-07
B_x,1,case_i_center,10.0,0.5,depth_nm+,-2.5111909338032794e-05,9.849419981292941e-06
B_x,1,case_i_center,10.0,0.5,depth_nm-,-6.70773213961879e-06,-5.211495680402351e-07
B_x,1,case_i_center,10.0,0.5,half_x_nm+,-3.4095656064053064e-06,3.8176729703909285e-06
B_x,1,case_i_center,10.0,0.5,half_x_nm-,-2.93428625447803e-06,-2.8243418261512726e-06
B_x,1,case_i_center,10.0,0.5,half_z_nm+,1.0946152233159631e-05,-1.716134866173156e-06
B_x,1,case_i_center,10.0,0.5,half_z_nm-,-2.8028237165142597e-06,1.724751330638559e-06
B_x,1,case_i_center,10.0,0.5,period_nm+,-5.547834532606058e-06,1.5824514677381663e-06
B_x,1,case_i_center,10.0,0.5,period_nm-,-1.65526671039376e-05,-1.3758335221628016e-05
B_x,1,case_i_center,10.0,1.0,baseline,1.666163771060769e-05,-2.8314162084915138e-06
B_x,1,case_i_center,10.0,1.0,depth_nm+,5.4227838765852354e-05,3.441723852607977e-05
B_x,1,case_i_center,10.0,1.0,depth_nm-,1.1214744198885518e-06,-1.7991263703059847e-06
B_x,1,case_i_center,10.0,1.0,half_x_nm+,7.0564372506409356e-06,1.3157517136112439e-05
B_x,1,case_i_center,10.0,1.0,half_x_nm-,1.8812144346833093e-05,-1.0092548377313513e-05
B_x,1,case_i_center,10.0,1.0,half_z_nm+,-5.9411854549995535e-05,-5.292214097207576e-06
B_x,1,case_i_center,10.0,1.0,half_z_nm-,9.458899041285811e-06,5.976387551726129e-06
B_x,1,case_i_center,10.0,1.0,period_nm+,-9.61018661496671e-06,5.903163035444927e-06
B_x,1,case_i_center,10.0,1.0,period_nm-,0.00013490374263000482,-4.836655775149884e-05
B_x,1,case_i_center,20.0,0.5,baseline,1.6965310147207258e-06,-9.386451110881216e-08
B_x,1,case_i_center,20.0,0.5,depth_nm+,1.0410341292616324e-05,-2.125264110783737e-07
B_x,1,case_i_center,20.0,0.5,depth_nm-,2.000022268299883e-06,1.3339981369560921e-08
B_x,1,case_i_center,20.0,0.5,half_x_nm+,-4.542868366247139e-06,5.738282502201135e-08
B_x,1,case_i_center,20.0,0.5,half_x_nm-,-5.254271421739794e-06,-1.1142272977867154e-07
B_x,1,case_i_center,20.0,0.5,half_z_nm+,-5.614075867221499e-06,-3.261776246507361e-07
B_x,1,case_i_center,20.0,0.5,half_z_nm-,-2.8057342118523784e-06,3.479545722312119e-08
B_x,1,case_i_center,20.0,0.5,period_nm+,-3.408364049462334e-06,2.76666939603244e-08
B_x,1,case_i_center,20.0,0.5,period_nm-,-3.3703760597726673e-06,-3.8091392603107927e-07
B_x,1,case_i_center,20.0,1.0,baseline,-8.896833550910144e-06,-2.938130491624794e-07
B_x,1,case_i_center,20.0,1.0,depth_nm+,2.653808683599282e-05,-7.775891024441227e-07
B_x,1,case_i_center,20.0,1.0,depth_nm-,4.636509994295629e-06,3.539134163512007e-08
B_x,1,case_i_center,20.0,1.0,half_x_nm+,-1.1352583337289127e-05,1.6076106269104315e-07
B_x,1,case_i_center,20.0,1.0,half_x_nm-,-9.187157001183666e-06,-3.4577154836024296e-07
B_x,1,case_i_center,20.0,1.0,half_z_nm+,-2.0076615575154166e-06,-1.010495541277126e-06
B_x,1,case_i_center,20.0,1.0,half_z_nm-,-7.3987762141212304e-06,1.0203450662949758e-07
B_x,1,case_i_center,20.0,1.0,period_nm+,-1.7695744041392597e-06,8.944014834084849e-08
B_x,1,case_i_center,20.0,1.0,period_nm-,-5.59750991312169e-05,-1.0721503604860716e-06
B_z,1,case_i_center,5.0,0.5,baseline,-0.0005319884720778045,-0.0009749523122594573
B_z,1,case_i_center,5.0,0.5,depth_nm+,0.0003959917510211827,0.002857753531864125
B_z,1,case_i_center,5.0,0.5,depth_nm-,-0.00024400317849654352,-0.00044933669600645673
B_z,1,case_i_center,5.0,0.5,half_x_nm+,0.0006726714935215289,0.0013493219300643967
B_z,1,case_i_center,5.0,0.5,half_x_nm-,0.0002678600514641194,-0.0005878707537713473
B_z,1,case_i_center,5.0,0.5,half_z_nm+,-0.0005433874200811151,0.0009169551227675805
B_z,1,case_i_center,5.0,0.5,half_z_nm-,0.00035070079047418157,0.0005853550913554684
